name,date,title,review,rating
blinscomb,15 May 2019," Captain America ruins it
",This guy is a horrible actor and ruins the whole experience,1
masssunka,9 May 2019," Was promised a chocolate cake, turned out to be cake of manure.
",This guy is a horrible actor and ruins the whole experience,1
abdulbashur,13 May 2019," Totally overrated!! Terrible film with several plot holes
",This guy is a horrible actor and ruins the whole experience,1
blindsniper-85919,28 April 2019," Way too many fanboys overlooking glaring issues
",This guy is a horrible actor and ruins the whole experience,1
with_blackstars,13 May 2019," Illogical and Convoluted
",This guy is a horrible actor and ruins the whole experience,1
ekilekil,11 May 2019," Disappointed..Tamil dubbing poor
",This guy is a horrible actor and ruins the whole experience,1
psychosis_64,2 May 2019," Miserable Ending to everything Good. Right from the Start!!
",This guy is a horrible actor and ruins the whole experience,1
waqashbutt,6 May 2019," Meh
",This guy is a horrible actor and ruins the whole experience,1
chatorech,6 May 2019," Extremely overhyped
",This guy is a horrible actor and ruins the whole experience,1
philipp-buchecker,24 April 2019," OK, but not as epic as expected
",This guy is a horrible actor and ruins the whole experience,7
jcoultis,12 May 2019," Boring
",This guy is a horrible actor and ruins the whole experience,1
hamidrezaie-26412,26 April 2019," Really messy
",This guy is a horrible actor and ruins the whole experience,6
alanaawram,16 May 2019," disguested. i feel lead on
",This guy is a horrible actor and ruins the whole experience,1
visa-80992,10 May 2019," Extremely Disappointed!
",This guy is a horrible actor and ruins the whole experience,1
azharsonu,12 May 2019," An emotional marvel
",This guy is a horrible actor and ruins the whole experience,1
wick27,29 April 2019," A decade to build, just 181-minutes to destroy......
",This guy is a horrible actor and ruins the whole experience,2
thomasdekoning1996,24 April 2019," The most satisfying ending, just like the Russo's said.
",This guy is a horrible actor and ruins the whole experience,10
stevenkoenig-16040,5 May 2019," I don't understand the hype
",This guy is a horrible actor and ruins the whole experience,1
stomes85,2 May 2019," Taco Tuesday librarian Hulk?
",This guy is a horrible actor and ruins the whole experience,1
salu_ka,3 May 2019," Full of disappointment
","In my opinion, they should have never filmed Endgame, it would be much better to finish everything with Infinity War, it would be much better because Infinity War was THE BEST EVER. and Endgame was very, very weak movie compared to it or any other marcel movie. I would prefer to not have seen Endgame.",1
engkarim-82135,2 May 2019," My rate
","In my opinion, they should have never filmed Endgame, it would be much better to finish everything with Infinity War, it would be much better because Infinity War was THE BEST EVER. and Endgame was very, very weak movie compared to it or any other marcel movie. I would prefer to not have seen Endgame.",1
bambijepsen,1 May 2019," Meh!
",This guy is a horrible actor and ruins the whole experience,1
yolosph,1 May 2019," Totally waste of time
",This guy is a horrible actor and ruins the whole experience,1
k_l_harish,2 May 2019," Worst Avengers Film. Infinity War was 14 million Times Better!
",This guy is a horrible actor and ruins the whole experience,1
punitprakash,30 April 2019," Disappointing and unsatisfying
","In my opinion, they should have never filmed Endgame, it would be much better to finish everything with Infinity War, it would be much better because Infinity War was THE BEST EVER. and Endgame was very, very weak movie compared to it or any other marcel movie. I would prefer to not have seen Endgame.",1
iline-79605,1 May 2019," Worst Marvel movie to date
",This guy is a horrible actor and ruins the whole experience,1
cyrusnasserystar,27 April 2019," I MADE AN ACCOUNT JUST TO SAY HOW BAD THIS MOVIE WAS
",This guy is a horrible actor and ruins the whole experience,1
ariaram,29 April 2019," waste of time
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
kumabijay,28 April 2019," nothing new
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
shiz-174-875258,4 May 2019," Not sure what the hype was about?
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
rafaelsejic,6 May 2019," Overhyped
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
vamsi-2390,12 May 2019," Missing big time on action
",This guy is a horrible actor and ruins the whole experience,1
vengeance20,30 April 2019," Too long, Overrated, Mediocre, Badly Paced, Etc
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,2
gtaresti,29 April 2019," Disappointed
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
fadyrf,29 April 2019," from a marvel comic book reader point of view
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,2
weemalky,12 May 2019," Utter garbage
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
krishangsaini,11 May 2019," Use of time machine to reverse infinity is pathetic
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
salutary,9 May 2019," Boring!!!
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
ozgur523,5 May 2019," time travel mess
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
jalidav1980,26 April 2019," Not the Endgame I hoped for
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",6
Mardolin,24 April 2019," A little bit underwhelmed
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",8
manmeetspahwa,29 April 2019," very boring movie . request dont waste your money
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
mohamaddallashe,27 April 2019," Only Disappointment !
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
dini_bogdan,2 May 2019," worst movie plot ever
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
alperkaanboz,30 April 2019," Absolutely OVERHYPED garbage, nothing more!!!
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
ackarmiky,6 May 2019," 1/10
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
jsimbumbu,6 May 2019," Back To The Avengers Endgame? Stupid ridiculous time wasting rubbish
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
ahamdshawaf,5 May 2019," The infinity war is better than endgame
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
kaintrust,4 May 2019," 2.5 hours of dramas and flashbacks torture with 30 min of action
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
tns-83391,29 April 2019," TOTAL DISASTER
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
bcindrick,28 April 2019," Really disappointing!!!
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
constantinejack,1 May 2019," Can we please get this off the TOP 250? Thanks
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
mal-cullen,1 May 2019," What a shame
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
omega14K,1 May 2019," Epic fail
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
jwniebling,30 April 2019," Waste of money
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
neraprojects,27 April 2019," I see only - Loose ends
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
nicolas-cristache,27 April 2019," 3 hours of garbage
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
docpal,27 April 2019," Avengers: Endgame lets just call it repeated story lines from the past films!
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
rahuls-20481,29 April 2019," Highly disappointed :(
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
driverinteractive_st,13 May 2019," More stars than it deserves
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
tristanostara,28 April 2019," The highest grossing most disappointing marvel film of all time
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
jr-45479,6 May 2019," I AM DONE WITH MARVEL AND DISNEY!!!
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
jim_clark21-82-472310,28 April 2019," What a load of guff!
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
samurrayexists,29 April 2019," Not Great
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
jhonrl,2 May 2019," WHY, WHY, WHY?????? Really???
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
monkeykingpokemongo,29 April 2019," Overrated movie
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
mrdmp-21311,29 April 2019," Over rated and over long.
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
joopeti,30 April 2019," Boring
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
filipjaksicjaksa,27 April 2019," I just want you to know, full disclosure, I loved this film!!
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
javedbizzworkz,1 May 2019," Worst movie of the year
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
hartleysane,30 April 2019," Do not go in blind.
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,2
mhajj-96668,28 April 2019," Overrated
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
peterguyton-08795,29 April 2019," Resorting to Time Travel says it all.
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,2
stevealfieholmes,8 May 2019," Indulgent rubbish
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
mrbwade,28 April 2019," Bitterly Dissapointed
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
akshaykumarps,29 April 2019," Infinity war is better
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
soulkeeperbg,28 April 2019," I am so glad Marvel aren't making more movies!
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
ashishrawat-57510,9 May 2019," Illogical movie
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
raudafitriani,24 April 2019," An experience you'll gonna remember forever.
","There is no way that I could describe my emotions for this movie. I'm totally speechless. I haven't laughed (even cried) this much in Marvel movie or even in any movie. I'm fully on my emotion, there are so many tears of joy and loss. Amazing story, the acting is outstanding, epic action, great CGI, the best storytelling ever told in a superhero movie, amazing performance. I love it more than 3000.",10
ocr-94520,1 May 2019," It had 2.5 hours of blah blah and hardly 30 minutes of action
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
korayctnx,4 May 2019," IT CAN'T BELONG MARVEL
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
pirates_of_the_carib-352-335834,8 May 2019," -Disappointed-
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",1
eliasfarah-30738,25 April 2019," Epic movie but no where near 10/10
","Well first off, Infinity War is one of my favourite movies of all time, and I feel the expectations I had built from that, has impacted how I feel about this movie.",7
antimirmirel,2 May 2019," Garbage..
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
Humazza-154-782286,30 April 2019," Boring , too long and expected.
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,2
plabarca-18301,2 May 2019," I fkn hated it
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,1
tromanova,29 April 2019," It was terrible
",Very bad movie just waste of time and money. in the first two hours of the movie nothing happen.,2
amgad-2,5 May 2019," Total disappointment
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
donniebaker-11488,5 May 2019," How did they mess it up that bad? Good films for years... Until now.
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
lloyd-44419,3 May 2019," Incredibly disappointing
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,5
s_bowler,4 May 2019," Worst Marvel Yet!!
",Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
coleben-04266,9 May 2019," This movie was the worst, most cringeworthy waste of a good story I have ever seen
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
rahulkochhar1,8 May 2019," The movie is a joke
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
dhiraj-yahoo,8 May 2019," Dissapointing
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
harold-jimenez,7 May 2019," Is this movie from the same guys who made The Last Jedi??
","I am very disoppointed ,actualy i know ,at the end if infinity war ,they gonna make it mess with ant man and time travel ,hardlu you see other charcters ,the way they make hulk off realy mess",1
